Howard,Gardner-Webb,-16,-9.22,6.45,
Green Bay,Murray State,-16,3.78,4.11,
Murray State,Green Bay,16,4.11,3.78,
Florida International,Jacksonville,-3,-3.59,2.97,
Grand Canyon,Albany (NY),5,5.11,5.07,
Duke,Penn State,10,13.41,0.41,
Penn State,Duke,-10,0.41,13.41,
Fairleigh Dickinson,Lipscomb,18,-2.15,6.87,
Albany (NY),Grand Canyon,-5,5.07,5.11,
Lipscomb,Fairleigh Dickinson,-18,6.87,-2.15,
North Carolina-Greensboro,Navy,13,6.79,2.04,
Northern Iowa,Xavier,-8,-1.48,4.11,
Xavier,Northern Iowa,8,4.11,-1.48,
Clemson,Oklahoma,-6,3.46,-1.42,
Missouri-Kansas City,Murray State,11,-1.29,4.11,
Murray State,Missouri-Kansas City,-11,4.11,-1.29,
Navy,North Carolina-Greensboro,-13,2.04,6.79,
Texas-El Paso,Mississippi State,-7,0.23,2.31,
Mississippi,Saint Joseph's,13,1.70,-3.08,
Saint Joseph's,Mississippi,-13,-3.08,1.70,
Mississippi State,Texas-El Paso,7,2.31,0.23,
Oklahoma,Clemson,6,-1.42,3.46,
Tulane,Missouri,-5,-8.69,-2.69,
Missouri,Tulane,5,-2.69,-8.69,
Fairleigh Dickinson,Saint Peter's,-26,-2.15,4.33,
Cincinnati,Penn State,21,14.93,0.41,
Penn State,Cincinnati,-21,0.41,14.93,
Saint Peter's,Fairleigh Dickinson,26,4.33,-2.15,
Villanova,Central Florida,10,14.82,6.78,
Arkansas State,Chattanooga,6,5.59,8.04,
Chattanooga,Arkansas State,-6,8.04,5.59,
Central Florida,Villanova,-10,6.78,14.82,
College of Charleston,Wake Forest,-17,4.59,4.85,
Delaware,Austin Peay,-1,-6.38,-6.75,
Austin Peay,Delaware,1,-6.75,-6.38,
Wake Forest,College of Charleston,17,4.85,4.59,
Creighton,North Carolina State,18,12.35,-1.18,
North Carolina State,Creighton,-18,-1.18,12.35,
Albany (NY),Brown,4,5.07,-2.12,
Brown,Albany (NY),-4,-2.12,5.07,
Arizona State,Davidson,-8,-2.32,3.68,
Davidson,Arizona State,8,3.68,-2.32,
Western Michigan,Boise State,-21,-1.69,5.40,
Boise State,Western Michigan,21,5.40,-1.69,
Duke,Rhode Island,10,13.41,7.50,
Northeastern,Maine,8,1.43,-9.28,
Grand Canyon,Marist,12,5.11,-10.79,
Marist,Grand Canyon,-12,-10.79,5.11,
Maine,Northeastern,-8,-9.28,1.43,
Florida International,Youngstown State,-5,-3.59,-5.03,
Youngstown State,Florida International,5,-5.03,-3.59,
Rhode Island,Duke,-10,7.50,13.41,
University of California,San Diego State,-12,6.92,6.52,
San Diego State,University of California,12,6.52,6.92,
North Carolina State,Saint Joseph's,10,-1.18,-3.08,
Saint Joseph's,North Carolina State,-10,-3.08,-1.18,
Northwestern,Texas,19,8.22,-0.41,
